,text,normalized,preprocessed,sentiment,emotion,stripped
0,"Grateful , thank u @mtvema for the nomination, bless up all my fans luv u 
FAN LUV vote now  https://t.co/w6YH4yWII8 https://t.co/OCpMrIRBq6","Grateful, thank u @USER for the nomination, bless up all my fans luv u FAN LUV vote now HTTPURL HTTPURL","Grateful , thank u @user for the nomination, bless up all my fans luv u 
FAN LUV vote now  url url",POS,joy,"Grateful , thank u @user for the nomination, bless up all my fans luv u 
FAN LUV vote now   "
1,"Behind the scenes the summer anthem #EVERYCHANCEIGET  off the #1 album #KHALEDKHALED 
Bless up lil baby ,lil durk… https://t.co/3qRVppjV6i","Behind the scenes the summer anthem #EVERYCHANCEIGET off the # 1 album #KHALEDKHALED Bless up lil baby, lil durk... HTTPURL","Behind the scenes the summer anthem everychanceiget  off the #1 album khaledkhaled 
Bless up lil baby ,lil durk url",NEU,joy,"Behind the scenes the summer anthem everychanceiget  off the #1 album khaledkhaled 
Bless up lil baby ,lil durk "
2,"The man, the legend, the icon. GOD’S SON @Nas🙏

This is Hip Hop. This is storytelling. This is truth…

You have all… https://t.co/VuiVaZJLZR","The man, the legend, the icon. GOD'S SON @USER :folded_hands: This is Hip Hop. This is storytelling. This is truth... You have all... HTTPURL","The man, the legend, the icon. GODS SON @user emoji folded hands emoji 

This is Hip Hop. This is storytelling. This is truth

You have all url",POS,joy,"The man, the legend, the icon. GODS SON @user emoji folded hands emoji 

This is Hip Hop. This is storytelling. This is truth

You have all "
3,This is a legendary occasion @MasterClass The chance to learn from a certified icon. One of the best to ever pick u… https://t.co/BVpZsHplwd,This is a legendary occasion @USER The chance to learn from a certified icon. One of the best to ever pick u... HTTPURL,This is a legendary occasion @user The chance to learn from a certified icon. One of the best to ever pick u url,POS,joy,This is a legendary occasion @user The chance to learn from a certified icon. One of the best to ever pick u 
4,Thank you @recordingacademy for having me we had great talk about MY 12th studio album #KHALEDKHALED… https://t.co/LPPhNYN6xf,Thank you @USER for having me we had great talk about MY 12th studio album #KHALEDKHALED... HTTPURL,Thank you @usery for having me we had great talk about MY 12th studio album khaledkhaled url,POS,joy,Thank you @usery for having me we had great talk about MY 12th studio album khaledkhaled 
5,This is a legendary occasion @MasterClass The chance to learn from a certified icon. One of the best to ever pick u… https://t.co/BpsQz26P9q,This is a legendary occasion @USER The chance to learn from a certified icon. One of the best to ever pick u... HTTPURL,This is a legendary occasion @user The chance to learn from a certified icon. One of the best to ever pick u url,POS,joy,This is a legendary occasion @user The chance to learn from a certified icon. One of the best to ever pick u 
6,"Tomorrow!! @TheSharkDaymond @BorisKodjoe @chancetherapper @NeYoCompound 

https://t.co/PPmISYcxpr https://t.co/DD0AOlVNhT",Tomorrow!! @USER @USER @USER @USER HTTPURL HTTPURL,"Tomorrow!! @user @user @user @user 

url url",NEU,joy,"Tomorrow!! @user @user @user @user 

 "
7,You're invited to an exclusive FACEBOOK LIVE AUDIO ROOM event with me @BustaRhymes @2chainz @Jeezy! We’re talking a… https://t.co/HowMSgkeVa,You're invited to an exclusive FACEBOOK LIVE AUDIO ROOM event with me @USER @USER @USER! We're talking a... HTTPURL,You're invited to an exclusive FACEBOOK LIVE AUDIO ROOM event with me @user @user @user! Were talking a url,POS,others,You're invited to an exclusive FACEBOOK LIVE AUDIO ROOM event with me @user @user @user! Were talking a 
8,"Young world the world is yours ! 
ITS NEW !!!!!!
New talk alert 🚨 ITS NEW ! 
EVERYTING NEW !
KEEP GOING !!!!!! https://t.co/1kmKI9sk01",Young world the world is yours! ITS NEW!!! New talk alert :police_car_light: ITS NEW! EVERYTING NEW! KEEP GOING!!! HTTPURL,"Young world the world is yours ! 
ITS NEW !!!
New talk alert  emoji police car light emoji  ITS NEW ! 
EVERYTING NEW !
KEEP GOING !!! url",POS,joy,"Young world the world is yours ! 
ITS NEW !!!
New talk alert  emoji police car light emoji  ITS NEW ! 
EVERYTING NEW !
KEEP GOING !!! "
9,"Last week, @StoneMountain64 and I showed you how to #PLAYLOUD. Check out our exclusive stream @FacebookGaming to se… https://t.co/7HDKHJgJfl","Last week, @USER and I showed you how to #PLAYLOUD. Check out our exclusive stream @USER to se... HTTPURL","Last week, @user and I showed you how to playloud. Check out our exclusive stream @user to se url",NEU,others,"Last week, @user and I showed you how to playloud. Check out our exclusive stream @user to se "
10,"👀🤯😳STILL IN THE MEETING 
Still in the meeting @realpdxreg took the global 🛩 for this. First look 👀 at what’s coming… https://t.co/pXHyEDSD5J",:eyes: :exploding_head: :flushed_face: STILL IN THE MEETING Still in the meeting @USER took the global airplane: for this. First look :eyes: at what's coming... HTTPURL,"emoji eyes emoji  emoji exploding head emoji  emoji flushed face emoji STILL IN THE MEETING 
Still in the meeting @user took the global  emoji small airplane emoji  for this. First look  emoji eyes emoji  at whats coming url",NEU,others,"emoji eyes emoji  emoji exploding head emoji  emoji flushed face emoji STILL IN THE MEETING 
Still in the meeting @user took the global  emoji small airplane emoji  for this. First look  emoji eyes emoji  at whats coming "
11,"Fan luv KEEP GOING !
Love and blessings to all , LOVE ALL !","Fan luv KEEP GOING! Love and blessings to all, LOVE ALL!","Fan luv KEEP GOING !
Love and blessings to all , LOVE ALL !",POS,joy,"Fan luv KEEP GOING !
Love and blessings to all , LOVE ALL !"
12,"12 studio albums over a decade of anthems 
Life is a journey and it’s great journey ! THANK YOU GOD! 
Catalog is 🔑… https://t.co/oW9UuWkKLU",12 studio albums over a decade of anthems Life is a journey and it's great journey! THANK YOU GOD! Catalog is :key:... HTTPURL,"12 studio albums over a decade of anthems 
Life is a journey and its great journey ! THANK YOU GOD! 
Catalog is  emoji key emoji  url",POS,joy,"12 studio albums over a decade of anthems 
Life is a journey and its great journey ! THANK YOU GOD! 
Catalog is  emoji key emoji  "
